"UIN","YEAR","SITE","TRANSECT","SITE.TRANS","smallkelp","bigkelp","reallybigkelp","kelp","prev.kelp","mean.kelp","kelp_plants","prev.kelp_plants","sand","habitat","habitat2","urchins","spring_canopy","spring_canopy_50","spring_canopy_150","summer_canopy","summer_canopy_50","summer_canopy_150","mean_Max.OV","mean_Mean.OV","mean_Max.Hs","mean_Mean.Tp","max_Max.OV","max_Mean.OV","links","richness","connectance","isolates","nopred","noprey","intermediate","linkdensity","spec","consumer_richness","mean_degreedist","sd_degreedist","mean_top_degreedist","sd_top_degreedist","mean_int_degreedist","sd_int_degreedist","lowdeg","middeg","highdeg","degree_skew","algae_richness","fish_richness","sessile_invert_richness","algae_consumer_richness","invert_consumer_richness","mix_consumer_richness","mobile_richness","mobile_invert_richness","prey_richness","higher_consumer","diameter","apl","density","mean_diameter","sd_diameter","mean.trophiclevel","mean.omnivory","mean.cons_trophiclevel","mean.cons_omnivory","mean.abs_trophiclevel","mean.abs_omnivory","mean.abs_cons_trophiclevel","mean.abs_cons_omnivory","sd.trophiclevel","sd.omnivory","sd.cons_trophiclevel","sd.cons_omnivory","sd.abs_trophiclevel","sd.abs_omnivory","sd.abs_cons_trophiclevel","sd.abs_cons_omnivory","max.trophiclevel","max.omnivory","max.cons_trophiclevel","max.cons_omnivory","max.abs_trophiclevel","max.abs_omnivory","max.abs_cons_trophiclevel","max.abs_cons_omnivory","skew.trophiclevel","skew.omnivory","skew.cons_trophiclevel","skew.cons_omnivory","skew.abs_trophiclevel","skew.abs_omnivory","skew.abs_cons_trophiclevel","skew.abs_cons_omnivory","kurtosis.trophiclevel","kurtosis.omnivory","kurtosis.cons_trophiclevel","kurtosis.cons_omnivory","kurtosis.abs_trophiclevel","kurtosis.abs_omnivory","kurtosis.abs_cons_trophiclevel","kurtosis.abs_cons_omnivory","shape","shape2","power_exp","drifting"
"2000_BULL_1",2000,"BULL",1,"BULL-1",7,0,0,16,NA,2.28571428571429,7,NA,15,65,54,201,0,0,552,0,0,137.5,NA,NA,NA,NA,-Inf,-Inf,49,32,0.0478515625,4,3,27,2,1.53125,0,5,9.8,8.87130204648675,9,9.53939201416946,11,11.3137084989848,0.09375,0.0625,0,0.291023062990457,19,2,5,0,3,2,8,6,23,0,3,1.87850467289720,0.0493951612903226,2.78260869565217,0.42174116783665,1.19097222222222,0.0297067901234565,2.22222222222222,0.190123456790122,1.29515753089421,0.0650672224676326,2.34929156980209,0.297450159852035,0.457021310984233,0.096441158437024,0.207869854820772,0.184277611427605,0.579547927808595,0.177965179869184,0.275623721301761,0.288086610101565,2.44444444444444,0.395061728395056,2.44444444444444,0.395061728395056,2.70877725235093,0.849161276084287,2.70877725235093,0.849161276084287,1.90595348174565,2.89631917263395,-0.183264851597088,-0.0692658562991715,1.44055019020862,3.01710326392614,-0.169901888008314,0.693522070970781,1.84756276461106,7.01116879125392,-2.18367346938775,-2.16770426334976,0.273277113558079,9.41520046200617,-1.77500128591381,-0.751477808016223,5.6,5.8,2.03002476533860,2
"2000_BULL_2",2000,"BULL",2,"BULL-2",6,1,0,69,NA,9.85714285714286,7,NA,1,79,30,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,43,34,0.03719723183391,5,4,25,5,1.26470588235294,0.088235294117647,8,4.77777777777778,4.89330608530107,5.5,5.91607978309962,4.2,4.54972526643093,0.205882352941176,0.0588235294117647,0,0.921570026504926,11,6,8,1,4,2,15,9,20,1,3,1.28301886792453,0.0374331550802139,2.2,0.410391340834062,1.34621848739496,0.0409703881552623,2.30793650793651,0.154777021919880,1.48424652904902,0.096487060828629,2.37203183230555,0.273380005681115,0.645789931817022,0.201060736171484,0.552457917462403,0.38332541351062,0.711229983394902,0.215064797792708,0.434443279108199,0.293263252511946,3.50000000000000,1.16666666666667,3.50000000000000,1.16666666666667,3.45370547524419,0.849161276084287,3.45370547524419,0.849161276084287,1.73391915290723,5.16026822357026,1.22890912667446,1.99862321574179,1.02286127667052,2.17405491905186,1.10164842674829,0.616488600486098,2.25562019575460,25.9051314641092,-0.260297994414600,2.41338528768830,-0.262998248956904,3.82204722616582,0.462914519132271,-1.05178319073630,3.11111111111111,3.33333333333333,1.62474808064374,3
"2000_BULL_3",2000,"BULL",3,"BULL-3",2,4,1,178,NA,29.6666666666667,6,NA,7,73,57,0,0,0,521,0,66.5,137.5,NA,NA,NA,NA,-Inf,-Inf,13,25,0.0208,15,2,20,3,0.52,0.04,5,2.6,1.51657508881031,4,1.41421356237310,1.66666666666667,0.577350269189626,0.2,0,0,0.536678367911701,11,4,5,0,4,0,9,5,5,0,2,1.14285714285714,0.02,1.2,0.447213595499958,1.26933333333333,0.0584888888888889,2.34666666666667,0.292444444444444,1.50261652522102,0.111716633110326,2.57067664131569,0.34911447846977,0.574610979513773,0.206302666302345,0.409335504880233,0.412117686655549,0.782165499543526,0.213438210915188,0.424629627063668,0.247936822974884,3,1,3,1,3.45370547524419,0.849161276084287,3.45370547524419,0.849161276084287,1.73370445631378,3.82927119097923,0.570660275376517,0.867824397754786,1.01183903824756,1.93734346527083,0.770073822353356,0.665489575376657,1.60936346547016,14.3972407986397,-1.49623708039879,-1.16060368186093,-0.555405123087887,3.33829847514144,-0.214813800332776,-0.412119858096033,2,4.6,1.78105541185384,3
"2000_BULL_4",2000,"BULL",4,"BULL-4",2,0,0,0,NA,0,2,NA,14,66,15,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,19,22,0.0392561983471074,8,3,15,4,0.863636363636364,0.0454545454545455,7,2.71428571428571,1.25356634105602,3.66666666666667,1.15470053837925,2,0.816496580927726,0.318181818181818,0,0,0.452882290865574,3,5,4,2,4,0,15,10,7,0,3,1.58620689655172,0.0389610389610390,2.42857142857143,0.534522483824849,1.43181818181818,0.097727272727273,2.35714285714286,0.307142857142858,1.72760177866017,0.158986496605284,2.45520355732034,0.317972993210567,0.677802024499474,0.245180823808952,0.377964473009227,0.367909150276455,0.799712438952505,0.253169748112678,0.422308420767911,0.281052631065089,3,1,3,1,3.45370547524419,0.849161276084287,3.45370547524419,0.849161276084287,1.00069044776026,2.51034178054884,0.364465741830324,0.72711935950377,0.411088364964183,1.37795443869673,0.88426623900202,0.471591167365503,-0.676784138596227,5.79829517859918,-1.45408163265307,-0.983517866040472,-1.32260690329138,0.770530969654282,0.231316394656078,-1.05220090624073,2,2.71428571428571,1.72996036415938,4
"2000_BULL_5",2000,"BULL",5,"BULL-5",2,0,0,4,NA,2,2,NA,31,49,26,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,20,21,0.0453514739229025,4,2,15,4,0.952380952380952,0,6,3.33333333333333,1.03279555898864,2.5,0.707106781186548,3.75,0.957427107756338,0.285714285714286,0,0,0.369816118127444,5,5,4,1,3,1,12,7,11,0,3,1.6,0.0452380952380952,2.45454545454545,0.522232967867094,1.38095238095238,0.0714285714285715,2.33333333333333,0.25,1.67440393940929,0.114180688838278,2.41624827275951,0.239779446560383,0.630570414481244,0.160912576086697,0.25819888974716,0.223606797749979,0.789902692585829,0.220845343546107,0.468160432787504,0.273717881762141,2.50000000000000,0.5,2.50000000000000,0.5,3.45370547524419,0.849161276084287,3.45370547524419,0.849161276084287,0.997208863526202,1.85868102155518,-0.537914353639921,-8.06823599805369e-15,0.576628716221569,1.96797267093292,0.847429275282284,0.914973317954878,-0.92708363061242,1.96817038349225,-1.95833333333333,-1.95833333333333,-1.08099624048607,3.35604536405758,-0.312525656626219,-0.237537075320843,2.83333333333333,3.16666666666667,2.43190027083755,4
"2000_BULL_6",2000,"BULL",6,"BULL-6",36,0,0,72,NA,2,36,NA,3,77,27,0,0,0,366,66.5,137.5,137.5,NA,NA,NA,NA,-Inf,-Inf,9,24,0.015625,16,2,20,2,0.375,0.0416666666666667,4,2.25,0.957427107756338,2.5,0.707106781186548,2,1.41421356237310,0.166666666666667,0,0,-0.320461139372989,14,4,2,0,3,0,8,4,4,0,1,1,0.0144927536231884,1,0,1.22222222222222,0.0405092592592592,2.33333333333333,0.243055555555555,1.53863824551792,0.107112233563997,2.61591473655378,0.321336700691992,0.514679832626771,0.118413188526589,0.235702260395516,0.204596109203559,0.81754004204732,0.216756784155290,0.454541198887806,0.275140253113521,2.5,0.5,2.5,0.5,3.45370547524419,0.849161276084287,3.45370547524419,0.849161276084287,1.77113143588348,2.78080977048608,-0.53033008588991,0.0757834172891484,0.956609708493113,1.98234739614890,0.492203737845451,0.50991785467666,1.31716589985927,7.09825959369237,-1.875,-1.88015645904564,-0.717731589615764,3.37028002039943,-0.998263216007682,-0.822890142622196,2,5.5,1.85278956416764,4
"2000_BULL_7",2000,"BULL",7,"BULL-7",12,0,0,85,NA,7.08333333333333,12,NA,36,44,19,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,36,28,0.0459183673469388,7,3,22,3,1.28571428571429,0,6,6,4.14728827066554,6.33333333333333,4.50924975282289,5.66666666666667,4.72581562625261,0.214285714285714,0,0,0.266355047129007,10,4,4,1,3,2,14,10,15,0,2,1.2,0.0476190476190476,1.33333333333333,0.487950036474267,1.25027056277056,0.0250250065590975,2.16792929292929,0.116783363942455,1.4646670183008,0.0997149136286319,2.30106765124224,0.279201758160169,0.497893234151241,0.0832799828861652,0.22920475098856,0.156821492128257,0.655447372138126,0.221593276480979,0.282324849610533,0.302703786142360,2.50000000000000,0.368055555555556,2.50000000000000,0.368055555555556,2.70877725235093,0.849161276084287,2.70877725235093,0.849161276084287,1.46187567958575,3.18753382956330,0.516881999989743,0.579549471714861,0.744689436262103,2.18820688447696,0.116408045614426,0.658521706394574,0.384538468824293,9.19790482274343,-1.88833414170056,-1.66055728921469,-1.27597070848095,3.86489283056478,-1.77657577791242,-1.08513551818869,3.5,4.16666666666667,1.89880597828058,4
"2000_BULL_8",2000,"BULL",8,"BULL-8",15,0,0,30,NA,2,15,NA,18,62,26,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,18,20,0.045,6,3,13,4,0.9,0.05,6,2.57142857142857,0.975900072948533,2,1,3,0.816496580927726,0.35,0,0,-0.169388369804639,4,5,3,2,3,0,13,8,7,1,3,1.625,0.0421052631578947,2.28571428571429,0.487950036474267,1.61388888888889,0.0995370370370373,2.75396825396826,0.284391534391535,1.77238861474640,0.164860347823677,2.40434293590254,0.29974608695214,0.95877924196752,0.238837789387981,0.76029094959912,0.345405299168542,0.757455010060994,0.271058577753116,0.337451818641952,0.308421157107268,4.00000000000001,0.851851851851854,4.00000000000001,0.851851851851854,2.81988896958295,0.849161276084287,2.81988896958295,0.849161276084287,1.16627744416458,2.19344761612943,0.432538707225873,0.586936917364344,0.0787722250368044,1.33016078744443,-0.244317856367818,0.490273326050743,-0.0349382211413460,3.54725386565279,-1.57914076092343,-1.54783858730108,-1.84731258474795,0.340754596406413,-1.85376250590080,-1.38058413484239,1.85714285714286,2.42857142857143,1.74954524302443,4
"2000_CARP_1",2000,"CARP",1,"CARP-1",39,3,0,421,NA,10.0238095238095,42,NA,0,80,80,34,0,0,0,0,0,0,NA,NA,NA,NA,-Inf,-Inf,32,24,0.0555555555555556,6,4,18,2,1.33333333333333,0,5,5.33333333333333,4.08248290463863,6.75,4.42530601578392,2.5,0.707106781186548,0.25,0,0,0.47628967220784,8,2,5,2,1,2,11,9,12,1,2,1.11764705882353,0.0543478260869565,1.16666666666667,0.389249472080761,1.40625,0.0859374999999998,2.625,0.343749999999999,1.38592967708704,0.0540489320623841,2.32318746429842,0.185310624213888,0.849592293525188,0.245760590134063,0.97146796138627,0.414106719336934,0.679019789900001,0.175682248782887,0.566184134177373,0.299891231839343,4.49999999999999,0.999999999999993,4.49999999999999,0.999999999999993,3.45370547524419,0.731708806002454,3.45370547524419,0.731708806002454,2.22635767525748,2.60945505299430,1.06515938049458,0.410838490549658,1.53815874775547,2.99625914371907,1.07288147878540,0.870163771058585,4.77057130219145,5.91136023628019,-0.601439264359749,-1.69505874640890,1.45616180631757,7.79082974934974,-0.624698727687471,-1.19063370910517,2.83333333333333,3.33333333333333,2.02536795827732,1
"2000_CARP_2",2000,"CARP",2,"CARP-2",2,1,0,34,NA,11.3333333333333,3,NA,0,80,67,91,203,736,1122,0,94.5,199.5,NA,NA,NA,NA,-Inf,-Inf,21,18,0.0648148148148148,5,4,13,1,1.16666666666667,0.111111111111111,4,4.2,3.27108544675922,5,3.16227766016838,1,NA,0.277777777777778,0,0,0.064456011598295,6,0,4,2,0,2,8,8,8,1,1,1,0.065359477124183,1,0,1.16666666666667,0.0555555555555556,2,5.93351502580788e-31,1.35876027350349,0.0452292391016229,2.29153698461259,0.162825260765842,0.514495755427527,0.235702260395516,4.44089209850063e-16,3.19073256370995e-31,0.674033267282217,0.191891410059992,0.65189651554905,0.364088351526553,2,1,2,8.7514256672956e-31,3.45768492306293,0.814126303829211,3.45768492306293,0.814126303829211,0.271951117180714,3.56172304597668,0.25,-0.220755030142433,1.75998101385214,3.56172304597668,1.0733126291999,1.0733126291999,0.00628715134887825,11.3240740740741,-2.25,-2.17665445248122,2.46383127161931,11.3240740740741,-0.919999999999999,-0.92,2.4,2.8,1.63342415085487,0
